quote_id,num_feature_1,num_feature_2,num_feature_3,num_feature_4,num_feature_5,num_feature_6,num_feature_7,num_feature_8,num_feature_9,num_feature_10,num_feature_11,num_feature_12,geo_feature_1,geo_feature_2,geo_feature_3,geo_feature_4,geo_feature_5,geo_feature_6,geo_feature_7,geo_feature_8,geo_feature_9,cat_feature_1,cat_feature_2,cat_feature_3,cat_feature_4,cat_feature_5,cat_feature_6,cat_feature_7,cat_feature_8,cat_feature_9,comp_1_price,comp_2_price,comp_3_price,comp_4_price,comp_5_price,market_min,market_median,market_max,own_price,scoring,model_version,converted
Q00017,38,5,0.169,1,4,120.0,1.0,17,20,93.6,4,12.8,0.075,-0.708,-0.9798,0.2473,-1.1936,0.2878,-1.9944,-0.2812,1.5084,region_C,standard,tariff_1,imported,diesel,manual,DOHC,gen_2,M,8268.1,11197.77,8448.03,14474.53,16228.56,8268.1,11197.77,16228.56,11435.32,0.4,2,1
Q00018,23,11,0.216,4,4,146.0,4.0,13,19,63.1,4,12.3,-0.8791,0.4102,1.1987,-0.1841,-1.8082,1.1154,-0.3511,1.5517,0.6728,region_F,special,tariff_4,imported,gasoline,electric,DOHC,gen_4,F,10018.62,9181.12,8519.55,14597.88,9642.7,8519.55,9642.7,14597.88,8902.8,0.8,1,0
Q00019,69,2,0.153,0,4,79.0,2.1,17,17,66.4,8,12.8,-0.4096,-0.0825,-0.2086,-0.3915,0.6319,0.1998,-2.4475,-1.2942,0.1122,region_B,special,tariff_3,domestic,diesel,hydraulic,DOHC,gen_2,F,7055.29,7066.1,8466.66,9359.86,9391.36,7055.29,8466.66,9391.36,8900.12,0.4,2,0
Q00020,42,3,0.272,4,2,197.0,4.4,17,16,75.2,16,8.9,0.3046,-1.3755,0.2784,1.296,-0.6931,1.4582,-1.0851,-0.7525,0.6033,region_D,commercial,tariff_6,imported,diesel,hydraulic,DOHC,gen_1,M,9834.14,10132.64,14379.75,11758.17,10552.65,9834.14,10552.65,14379.75,11180.25,0.4,2,0
Q00021,65,9,0.126,2,4,323.0,4.5,15,16,94.2,4,12.1,-1.1173,0.8472,-0.8795,-0.7331,-0.4892,0.8679,2.5585,1.1064,-0.6758,region_F,special,tariff_3,imported,flex,manual,SOHC,gen_4,M,13438.75,23625.38,18593.74,15620.07,13373.61,13373.61,15620.07,23625.38,15297.48,0.6,2,0
Q00022,54,10,0.194,3,4,198.0,4.3,13,19,65.8,4,12.4,0.1642,-0.4803,-0.0291,-1.3948,-0.2166,-0.4883,-0.38,-0.2716,-2.1088,region_E,commercial,tariff_5,imported,flex,electric,DOHC,gen_3,F,7496.76,6744.34,9370.86,6668.54,7202.26,6668.54,7202.26,9370.86,7404.18,0.4,2,1
Q00023,59,1,0.103,5,4,266.0,1.1,20,16,95.0,8,9.8,-0.2123,1.5921,-1.3722,0.7957,0.3826,-0.14,-1.4278,-0.1102,-0.6067,region_A,commercial,tariff_6,imported,flex,electric,SOHC,gen_1,M,11939.61,16085.18,18378.07,22234.28,17717.43,11939.61,17717.43,22234.28,17651.73,0.6,1,0
Q00024,58,8,0.122,3,4,106.0,4.2,18,17,69.2,8,13.2,-0.6606,-1.403,0.0999,-1.4204,-1.4853,0.4084,0.0253,1.0734,0.7475,region_A,special,tariff_6,imported,gasoline,hydraulic,DOHC,gen_1,M,10596.73,8023.89,8045.21,10689.51,9238.62,8023.89,9238.62,10689.51,8868.33,0.6,1,0
Q00025,29,5,0.132,4,2,163.0,5.5,17,13,78.1,16,9.8,-0.4706,-0.1807,0.3706,-1.9279,-1.2589,-0.4486,-0.8978,-0.7168,0.0802,region_H,standard,tariff_5,imported,electric,hydraulic,DOHC,gen_1,F,12554.73,13078.74,11505.57,15695.58,9947.66,9947.66,12554.73,15695.58,13074.24,0.4,2,0
Q00026,38,8,0.038,8,4,102.0,2.1,19,15,74.1,4,9.5,-0.1546,-0.7,0.3206,0.9083,0.0013,1.5313,0.8645,-1.4686,-0.1368,region_E,standard,tariff_4,imported,diesel,electric,SOHC,gen_3,F,5461.09,5559.6,5918.85,8058.14,6650.01,5461.09,5918.85,8058.14,5560.1,0.6,2,1
Q00027,43,15,0.028,8,4,135.0,2.2,18,15,64.7,4,13.2,-0.7678,-0.9754,-0.9036,0.1587,1.1987,-1.1087,-0.8895,-1.3889,-0.8478,region_G,standard,tariff_3,domestic,flex,electric,DOHC,gen_4,F,8610.55,6500.78,7125.64,11110.39,11304.64,6500.78,8610.55,11304.64,8254.01,0.6,3,0
Q00028,45,1,0.2,0,4,202.0,4.7,14,16,97.8,4,9.5,0.0071,-0.4868,-0.3421,0.4727,-0.0254,0.3161,0.2707,0.5818,-1.9558,region_A,standard,tariff_1,domestic,flex,electric,DOHC,gen_2,F,11859.46,14214.25,14837.78,16068.19,13249.03,11859.46,14214.25,16068.19,13892.51,0.6,2,1
Q00029,22,15,0.197,4,4,155.0,1.7,16,17,77.5,4,10.5,-0.2782,1.7706,0.5372,-0.4424,-0.7917,0.7354,-1.1471,0.2591,1.4248,region_D,standard,tariff_1,imported,diesel,manual,DOHC,gen_1,F,6647.65,7131.74,7517.42,7609.71,9121.92,6647.65,7517.42,9121.92,7724.22,0.2,2,0
Q00030,47,7,0.199,9,4,84.0,4.0,20,18,87.6,8,10.2,-0.6113,0.1434,-0.2114,-1.3844,-2.1482,-0.3134,2.599,-0.6926,-0.2079,region_E,special,tariff_3,domestic,gasoline,hydraulic,SOHC,gen_4,F,4203.13,4889.68,4133.32,6559.25,3052.61,3052.61,4203.13,6559.25,4558.42,0.4,3,1
Q00031,27,12,0.006,5,4,88.0,4.4,15,16,83.0,2,13.4,1.5898,-0.7917,-0.2873,-1.1858,0.9527,-0.5388,0.5036,-1.1588,-0.4295,region_H,special,tariff_4,imported,diesel,electric,SOHC,gen_3,F,8233.32,6703.97,9273.56,9428.96,7360.31,6703.97,8233.32,9428.96,8460.39,0.4,3,1
Q00032,57,6,0.098,2,4,85.0,1.2,20,14,80.1,4,10.7,0.4152,-1.8286,1.9035,-0.2722,-0.7359,-0.0761,-0.1455,-0.2706,-0.6716,region_F,commercial,tariff_1,imported,gasoline,hydraulic,DOHC,gen_3,F,7893.01,9505.0,7097.43,12913.54,7812.42,7097.43,7893.01,12913.54,8321.28,0.4,1,0
Q00033,54,4,0.059,6,4,181.0,3.5,13,17,84.7,16,12.2,-0.3827,-1.7214,-0.951,-1.2724,-1.1474,0.812,-0.293,1.1165,1.2545,region_F,commercial,tariff_6,domestic,electric,hydraulic,DOHC,gen_1,M,13397.34,14135.32,14315.31,16373.34,20761.9,13397.34,14315.31,20761.9,13602.95,0.8,2,1
Q00034,67,12,0.233,1,4,339.0,3.6,15,13,95.9,16,12.8,0.1459,-0.5365,1.0804,0.3071,-1.7153,-0.4998,-0.5536,-0.8358,0.8814,region_C,standard,tariff_6,domestic,electric,electric,DOHC,gen_3,M,11754.71,10605.92,14096.96,16071.84,14976.61,10605.92,14096.96,16071.84,14392.71,0.4,3,1
Q00035,57,11,0.258,0,4,256.0,2.4,15,19,88.0,8,11.8,-1.0268,-0.6337,-1.1547,-0.4625,-1.4391,-1.0689,-0.7609,-0.6627,-0.9672,region_H,standard,tariff_1,domestic,electric,hydraulic,DOHC,gen_2,M,10818.24,10710.65,11011.76,9973.32,9140.18,9140.18,10710.65,11011.76,9692.33,0.8,2,1
Q00036,38,2,0.074,6,4,70.0,4.9,17,19,81.3,16,13.7,-0.4368,-0.2241,0.6548,0.185,-0.9612,1.1506,-0.7884,-1.1905,1.1645,region_C,commercial,tariff_1,imported,gasoline,electric,SOHC,gen_1,F,7948.63,15649.47,9522.2,11716.5,11931.45,7948.63,11716.5,15649.47,11613.22,0.6,1,0
Q00037,69,11,0.2,5,4,262.0,1.7,14,14,85.8,4,12.8,-0.3201,-2.2722,0.7082,0.1551,-0.2388,0.3993,1.6783,-0.3674,-0.1451,region_C,standard,tariff_6,domestic,gasoline,electric,SOHC,gen_2,M,11525.84,14550.91,15807.57,16974.54,15357.98,11525.84,15357.98,16974.54,16057.86,0.2,2,0
Q00038,40,12,0.039,8,4,216.0,2.6,14,15,84.3,4,10.4,-1.2468,-0.0917,-0.5104,0.3868,-1.2087,1.0079,-0.5526,0.3381,-0.6105,region_F,special,tariff_2,domestic,flex,electric,DOHC,gen_1,M,8953.26,17239.95,10876.84,11996.31,16766.29,8953.26,11996.31,17239.95,11074.19,0.6,1,0
Q00039,36,6,0.083,3,4,80.0,4.8,18,13,77.3,2,13.7,0.3874,1.0277,-1.2175,0.4995,0.1857,0.7593,-2.1294,2.1152,-0.2936,region_H,standard,tariff_2,domestic,flex,manual,SOHC,gen_2,M,5353.34,8097.08,6058.74,13108.8,9007.32,5353.34,8097.08,13108.8,8878.47,0.4,2,0
Q00040,66,14,0.042,9,4,131.0,1.9,15,15,85.0,16,11.1,-0.5056,1.6228,-1.9704,-0.3439,-0.2464,2.1799,-1.166,0.2178,-0.7833,region_G,special,tariff_2,imported,diesel,hydraulic,SOHC,gen_4,F,6294.28,11074.51,8609.44,7691.5,5947.67,5947.67,7691.5,11074.51,7538.64,0.6,3,0
Q00041,38,10,0.085,4,4,230.0,4.7,20,13,77.7,16,8.1,-0.3555,-1.8944,-0.6151,0.184,2.222,1.115,0.9277,-0.0537,-1.3209,region_B,standard,tariff_5,domestic,diesel,electric,DOHC,gen_4,F,9643.15,9833.82,6638.93,8585.96,8676.1,6638.93,8676.1,9833.82,9032.46,0.4,3,0
Q00042,23,5,0.202,8,4,185.0,1.4,19,20,90.3,2,9.6,-0.5687,-0.8014,0.5262,0.236,-1.7044,-0.7241,-0.2523,0.8629,0.7761,region_G,standard,tariff_1,imported,flex,manual,DOHC,gen_3,M,10421.57,14189.9,9909.45,10986.22,14735.84,9909.45,10986.22,14735.84,10906.84,0.6,2,1
Q00043,43,0,0.273,1,2,88.0,3.2,15,14,98.8,2,11.7,2.9591,-0.8542,-1.0776,-2.4289,0.1615,0.4703,-0.1341,0.6962,-0.2207,region_C,commercial,tariff_2,imported,gasoline,hydraulic,DOHC,gen_4,F,8457.42,11503.36,11478.92,13089.75,16700.61,8457.42,11503.36,16700.61,12144.58,0.4,3,0
Q00044,60,10,0.061,1,4,189.0,1.3,17,18,98.4,4,8.9,-0.6626,0.1457,0.0969,0.6465,0.174,-0.5575,1.1698,-0.5777,0.6172,region_B,standard,tariff_3,domestic,flex,electric,SOHC,gen_4,M,7954.22,8421.91,7987.16,12360.47,9585.37,7954.22,8421.91,12360.47,8592.31,0.4,3,0
Q00045,29,3,0.163,8,4,63.0,4.1,15,17,92.8,4,11.5,-2.0687,-1.2198,-1.4764,0.1499,-1.0306,-0.4541,-0.7772,2.3021,0.2872,region_H,commercial,tariff_4,imported,diesel,manual,SOHC,gen_1,M,7661.86,9881.27,9335.33,13254.67,8408.94,7661.86,9335.33,13254.67,8489.71,0.6,3,0
Q00046,43,12,0.21,9,2,136.0,4.6,15,14,84.1,8,10.2,-1.5999,1.6823,-0.2339,0.564,0.0953,-1.4125,0.6324,-0.0244,0.5485,region_H,standard,tariff_6,domestic,flex,electric,SOHC,gen_2,F,7723.69,8572.39,6177.83,11823.96,13072.83,6177.83,8572.39,13072.83,9446.19,0.4,3,0
Q00047,26,8,0.286,10,4,234.0,4.8,18,19,90.0,4,11.2,0.7593,0.0435,-1.147,-1.2868,0.7696,-0.2861,-0.6679,0.2364,-2.046,region_C,special,tariff_2,domestic,flex,hydraulic,SOHC,gen_2,M,7510.56,8306.62,12910.2,16137.79,13273.24,7510.56,12910.2,16137.79,13406.14,0.2,3,0
Q00048,55,7,0.183,3,4,150.0,5.4,15,13,67.1,8,8.0,1.3365,-0.1231,-0.078,-0.3158,0.0965,0.545,0.5759,0.5513,-0.8668,region_A,commercial,tariff_2,domestic,gasoline,manual,SOHC,gen_3,M,8769.63,9937.19,7260.3,10585.21,8802.36,7260.3,8802.36,10585.21,8743.36,0.8,1,0
Q00049,44,2,0.077,0,4,122.0,4.0,14,20,79.2,4,13.1,-0.6818,1.5927,-0.5011,-1.0915,1.3845,-0.066,-0.3911,0.3459,0.5694,region_B,special,tariff_4,imported,gasoline,hydraulic,DOHC,gen_4,M,9108.75,11855.68,12444.68,10538.5,10716.27,9108.75,10716.27,12444.68,11170.48,0.4,1,0
Q00050,36,11,0.188,10,4,212.0,4.5,15,18,70.3,4,10.2,1.2789,-0.016,-1.1904,0.7446,-2.1777,-1.0994,-0.2415,1.5254,-1.2748,region_E,commercial,tariff_3,imported,diesel,hydraulic,DOHC,gen_4,F,4525.39,6919.31,5853.15,9177.31,8514.4,4525.39,6919.31,9177.31,6522.25,0.6,1,0
Q00051,31,2,0.096,6,4,219.0,3.3,20,18,60.1,4,8.8,0.7416,0.4003,-0.6589,-1.4051,-0.8422,-1.523,0.8201,-0.5899,0.3731,region_A,special,tariff_4,imported,electric,electric,DOHC,gen_1,F,10657.86,16910.69,19830.37,24284.26,16579.48,10657.86,16910.69,24284.26,18002.29,0.4,2,0
Q00052,48,6,0.293,2,4,251.0,5.1,15,20,98.7,16,10.6,-0.1895,-0.7508,-0.9342,-0.9287,1.4751,2.1118,0.748,0.7834,-1.3907,region_B,commercial,tariff_2,imported,electric,hydraulic,SOHC,gen_3,F,7982.97,8470.68,8074.73,9745.58,12088.37,7982.97,8470.68,12088.37,8290.2,0.6,3,0
Q00053,54,13,0.12,8,2,211.0,3.9,15,16,94.6,4,10.9,-0.2604,-1.3705,-1.3139,0.5343,0.912,0.3252,-0.1654,0.1646,0.0164,region_B,special,tariff_4,domestic,electric,electric,DOHC,gen_1,M,6933.29,8246.82,10786.9,12027.32,6373.82,6373.82,8246.82,12027.32,8850.55,0.4,3,0
Q00054,67,14,0.206,9,2,229.0,5.0,18,15,80.5,4,11.8,0.1809,-0.6104,1.0827,-0.6294,0.5405,-0.8241,-0.4716,0.9827,1.61,region_H,special,tariff_6,imported,diesel,electric,SOHC,gen_2,F,8047.37,8977.71,7447.45,7822.29,7624.2,7447.45,7822.29,8977.71,7398.11,1.0,3,0
Q00055,42,15,0.007,3,4,199.0,2.1,13,14,70.2,4,11.1,0.8775,2.187,-0.3602,-0.9284,1.2332,0.4618,1.5991,-0.215,0.7746,region_C,special,tariff_5,imported,diesel,manual,SOHC,gen_2,F,7929.49,9612.06,6992.89,12940.71,9438.13,6992.89,9438.13,12940.71,10095.66,0.2,3,0
Q00056,28,15,0.12,8,4,165.0,3.2,15,20,87.7,16,8.3,0.3973,0.633,-2.2022,0.9067,-1.9166,2.1892,0.5893,-0.3504,-1.8507,region_D,special,tariff_5,domestic,gasoline,electric,SOHC,gen_3,M,6124.69,6865.38,7573.7,9213.08,7967.37,6124.69,7573.7,9213.08,8312.94,0.2,2,0
Q00057,62,8,0.263,8,2,154.0,4.3,14,16,77.4,8,13.2,-0.6768,0.2745,-0.6233,0.9477,0.7956,0.6205,-0.3911,0.7321,0.8484,region_D,special,tariff_1,imported,gasoline,electric,SOHC,gen_4,M,7291.58,10500.64,10773.01,10387.04,10219.15,7291.58,10387.04,10773.01,11585.67,0.0,2,0
Q00058,52,3,0.183,5,4,135.0,1.9,20,19,92.1,8,10.7,-0.1742,-0.9764,0.9147,0.7221,1.0644,-2.7871,-0.6531,0.358,1.8222,region_A,special,tariff_6,imported,diesel,manual,DOHC,gen_4,F,10583.2,12141.47,12742.58,13882.42,13824.62,10583.2,12742.58,13882.42,13588.82,0.4,2,0
Q00059,55,13,0.133,6,4,91.0,2.0,20,15,100.0,4,8.5,1.9813,0.9113,-0.7614,0.8487,-0.6587,2.6523,1.0249,-0.8203,2.797,region_E,standard,tariff_5,imported,electric,hydraulic,DOHC,gen_2,M,4982.7,4734.46,5410.54,4700.78,7630.41,4700.78,4982.7,7630.41,5226.67,0.4,1,0
Q00060,24,12,0.281,2,4,101.0,5.4,19,20,74.0,8,12.6,0.2512,-1.3577,1.4977,-0.2316,2.6292,-1.8492,0.1154,1.3456,0.4751,region_H,standard,tariff_4,domestic,electric,electric,DOHC,gen_3,M,3952.49,9699.43,7515.63,8791.38,6343.16,3952.49,7515.63,9699.43,7551.6,0.4,3,0
Q00061,35,15,0.256,10,4,133.0,3.0,14,19,69.8,4,12.0,0.8693,-1.5671,-0.8567,-0.2046,0.1963,-0.206,-0.1636,0.7325,-1.3644,region_G,standard,tariff_1,domestic,diesel,manual,SOHC,gen_1,F,6473.09,7168.57,5501.05,8051.79,6721.4,5501.05,6721.4,8051.79,6085.4,0.8,2,0
Q00062,59,10,0.097,10,4,163.0,1.8,17,15,70.7,8,11.9,0.5399,-0.5589,0.5034,-0.6481,-2.1928,-1.1334,0.115,-0.0742,0.4347,region_C,commercial,tariff_4,imported,gasoline,hydraulic,SOHC,gen_1,M,9082.79,13083.96,11721.42,15092.62,10021.89,9082.79,11721.42,15092.62,11889.8,0.4,1,0
Q00063,62,2,0.163,10,4,264.0,2.5,18,16,63.7,4,10.6,0.2734,1.9545,1.0366,0.1677,0.3813,-0.74,0.3378,-0.4682,1.596,region_A,standard,tariff_5,domestic,electric,hydraulic,SOHC,gen_4,F,15394.86,16733.96,15692.57,25665.16,20905.12,15394.86,16733.96,25665.16,16987.99,0.4,2,0
Q00064,42,8,0.147,8,4,146.0,2.8,19,19,75.8,4,10.5,0.1087,1.8979,0.4502,-0.5279,-0.7199,0.2844,-0.0567,0.3641,-0.1871,region_G,standard,tariff_4,imported,flex,hydraulic,DOHC,gen_4,M,10694.98,9223.15,8378.75,12166.45,13023.93,8378.75,10694.98,13023.93,9577.74,0.6,2,0
Q00065,61,7,0.19,0,4,222.0,3.8,14,14,60.7,16,11.2,0.8974,-0.4512,-1.3745,-0.4331,1.165,-2.071,1.2037,0.6605,1.0431,region_G,commercial,tariff_1,imported,gasoline,manual,DOHC,gen_4,M,9057.22,9754.7,11808.77,12324.34,11765.92,9057.22,11765.92,12324.34,12304.21,0.2,3,0
Q00066,62,13,0.1,4,4,229.0,5.2,18,13,64.6,16,8.3,0.7186,-0.6742,-0.9425,0.5999,0.5479,-0.0902,1.2593,-1.5941,-0.8396,region_H,standard,tariff_1,imported,electric,electric,DOHC,gen_2,M,10699.02,10724.56,9846.47,10123.06,16091.84,9846.47,10699.02,16091.84,9797.59,1.0,3,0
Q00067,39,6,0.073,4,2,135.0,5.4,14,15,70.9,4,9.8,0.2639,-1.6404,1.1701,1.1845,-0.5979,1.1473,0.5319,0.3757,0.3724,region_E,special,tariff_3,domestic,gasoline,hydraulic,SOHC,gen_3,M,5152.17,4547.73,9180.66,12064.8,6985.56,4547.73,6985.56,12064.8,7147.53,0.4,1,0
Q00068,65,5,0.274,10,4,188.0,3.9,17,17,66.4,4,13.9,-0.6938,0.078,-0.8046,0.3983,1.5025,-0.8432,1.3747,0.6526,-2.4896,region_D,special,tariff_5,imported,flex,manual,SOHC,gen_1,M,9740.14,11372.98,9560.92,17381.66,14083.07,9560.92,11372.98,17381.66,11298.28,0.6,3,0
Q00069,34,1,0.277,6,2,135.0,4.1,20,14,89.3,8,12.0,0.3856,0.162,0.9757,1.7943,0.9395,-1.3903,0.0085,-2.3524,-0.9503,region_G,standard,tariff_3,domestic,diesel,manual,DOHC,gen_3,F,9601.03,12075.81,9989.22,16195.14,16016.81,9601.03,12075.81,16195.14,13162.79,0.4,1,0
Q00070,32,13,0.253,5,4,252.0,2.4,13,15,64.2,16,10.5,-0.067,0.7896,-0.4303,-0.7055,-0.8279,-0.1393,0.6903,0.1962,-0.0061,region_F,commercial,tariff_5,imported,electric,hydraulic,DOHC,gen_2,F,9330.84,10122.31,8991.81,12874.25,8901.43,8901.43,9330.84,12874.25,8731.23,1.0,2,1
Q00071,54,12,0.293,1,2,191.0,4.9,14,20,94.6,8,9.3,-0.3083,0.9107,0.1414,-1.838,-0.152,-0.3383,1.0045,0.6946,-0.3634,region_G,special,tariff_6,domestic,electric,manual,SOHC,gen_4,F,6122.05,8184.21,11341.06,11659.41,9976.16,6122.05,9976.16,11659.41,9188.94,0.6,2,0
Q00072,52,0,0.223,8,4,92.0,2.0,19,13,68.8,4,12.5,2.6788,-0.1974,-1.3861,0.7146,0.5169,-0.5952,1.019,0.5809,-1.3006,region_C,standard,tariff_6,imported,gasoline,manual,DOHC,gen_2,F,10692.72,8976.61,9701.83,17204.8,7438.85,7438.85,9701.83,17204.8,9820.98,0.4,3,0
Q00073,27,6,0.229,3,4,158.0,1.5,13,13,64.3,4,9.6,-1.5391,0.556,-0.6083,-0.7718,-0.3643,-1.1883,0.916,0.8024,-0.4997,region_H,special,tariff_4,domestic,gasoline,manual,DOHC,gen_3,F,12372.28,13575.2,12941.4,11451.89,13257.79,11451.89,12941.4,13575.2,12817.92,0.6,3,0
Q00074,62,7,0.229,1,4,287.0,5.4,18,16,60.4,8,9.0,0.9585,-0.7006,-0.8753,-0.2737,-0.3344,0.5192,0.6312,-0.3276,0.3297,region_A,commercial,tariff_5,imported,electric,hydraulic,SOHC,gen_3,F,9441.19,12039.83,10292.76,15562.13,11336.51,9441.19,11336.51,15562.13,10414.98,0.6,1,0
